Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/12,51-60,2,6,06/30/2020 04:36:29 PM
2020/03/13,51-60,2,8,06/30/2020 04:36:29 PM
2020/03/14,51-60,1,9,06/30/2020 04:36:29 PM
2020/03/15,51-60,0,9,06/30/2020 04:36:29 PM
2020/03/16,51-60,8,17,06/30/2020 04:36:29 PM
2020/03/17,51-60,3,20,06/30/2020 04:36:29 PM
2020/03/18,51-60,4,24,06/30/2020 04:36:29 PM
2020/03/19,51-60,3,27,06/30/2020 04:36:29 PM
2020/03/20,51-60,4,31,06/30/2020 04:36:29 PM
2020/03/21,51-60,7,38,06/30/2020 04:36:29 PM
2020/03/22,51-60,5,43,06/30/2020 04:36:29 PM
2020/03/23,51-60,7,50,06/30/2020 04:36:29 PM
2020/03/24,51-60,6,56,06/30/2020 04:36:29 PM
2020/03/25,51-60,5,61,06/30/2020 04:36:29 PM
2020/03/26,51-60,9,70,06/30/2020 04:36:29 PM
2020/03/27,51-60,4,74,06/30/2020 04:36:29 PM
2020/03/28,51-60,6,80,06/30/2020 04:36:29 PM
2020/03/29,51-60,0,80,06/30/2020 04:36:29 PM
2020/03/30,51-60,6,86,06/30/2020 04:36:29 PM
2020/03/31,51-60,9,95,06/30/2020 04:36:29 PM
2020/04/01,51-60,5,100,06/30/2020 04:36:29 PM
2020/04/02,51-60,3,103,06/30/2020 04:36:29 PM
2020/04/03,51-60,5,108,06/30/2020 04:36:29 PM
2020/04/04,51-60,2,110,06/30/2020 04:36:29 PM
2020/04/05,51-60,4,114,06/30/2020 04:36:29 PM
2020/04/06,51-60,6,120,06/30/2020 04:36:29 PM
2020/04/07,51-60,5,125,06/30/2020 04:36:29 PM
2020/04/08,51-60,14,139,06/30/2020 04:36:29 PM
2020/04/09,51-60,16,155,06/30/2020 04:36:29 PM
2020/04/10,51-60,7,162,06/30/2020 04:36:29 PM
2020/04/11,51-60,3,165,06/30/2020 04:36:29 PM
2020/04/12,51-60,5,170,06/30/2020 04:36:29 PM
2020/04/13,51-60,3,173,06/30/2020 04:36:29 PM
2020/04/14,51-60,9,182,06/30/2020 04:36:29 PM
2020/04/15,51-60,3,185,06/30/2020 04:36:29 PM
2020/04/16,51-60,5,190,06/30/2020 04:36:29 PM
2020/04/17,51-60,5,195,06/30/2020 04:36:29 PM
2020/04/18,51-60,1,196,06/30/2020 04:36:29 PM
2020/04/19,51-60,9,205,06/30/2020 04:36:29 PM
2020/04/20,51-60,9,214,06/30/2020 04:36:29 PM
2020/04/21,51-60,5,219,06/30/2020 04:36:29 PM
2020/04/22,51-60,4,223,06/30/2020 04:36:29 PM
2020/04/23,51-60,5,228,06/30/2020 04:36:29 PM
2020/04/24,51-60,7,235,06/30/2020 04:36:29 PM
2020/04/25,51-60,5,240,06/30/2020 04:36:29 PM
2020/04/26,51-60,4,244,06/30/2020 04:36:29 PM
2020/04/27,51-60,3,247,06/30/2020 04:36:29 PM
2020/04/28,51-60,9,256,06/30/2020 04:36:29 PM
2020/04/29,51-60,6,262,06/30/2020 04:36:29 PM
2020/04/30,51-60,4,266,06/30/2020 04:36:29 PM
2020/05/01,51-60,5,271,06/30/2020 04:36:29 PM
2020/05/02,51-60,2,273,06/30/2020 04:36:29 PM
2020/05/03,51-60,3,276,06/30/2020 04:36:29 PM
2020/05/04,51-60,1,277,06/30/2020 04:36:29 PM
2020/05/05,51-60,6,283,06/30/2020 04:36:29 PM
2020/05/06,51-60,8,291,06/30/2020 04:36:29 PM
2020/05/07,51-60,5,296,06/30/2020 04:36:29 PM
2020/05/08,51-60,1,297,06/30/2020 04:36:29 PM
2020/05/09,51-60,1,298,06/30/2020 04:36:29 PM
2020/05/10,51-60,0,298,06/30/2020 04:36:29 PM
2020/05/11,51-60,7,305,06/30/2020 04:36:29 PM
2020/05/12,51-60,9,314,06/30/2020 04:36:29 PM
2020/05/13,51-60,5,319,06/30/2020 04:36:29 PM
2020/05/14,51-60,3,322,06/30/2020 04:36:29 PM
2020/05/15,51-60,1,323,06/30/2020 04:36:29 PM
2020/05/16,51-60,1,324,06/30/2020 04:36:29 PM
2020/05/17,51-60,0,324,06/30/2020 04:36:29 PM
2020/05/18,51-60,5,329,06/30/2020 04:36:29 PM
